NOMFASE;NUMRODADA;NOMSELECAOMANDANTE;NOMSELECAOVISITANTE;DTHJOGO;NUMGOLMANDANTE;NUMGOLVISITANTE;NumGolSelecaoMandanteProrrogacao;NumGolSelecaoVisitanteProrrogacao;NumPenaltisConvertidoSelecaoMandante;NumPenaltisPerdidoSelecaoMandante;NumPenaltisConvertidoSelecaoVisitante;NumPenaltisPerdidoSelecaoVisitante;INDTERMINOPARTIDA;DSCVENCEDORJOGO;NOMESTADIO;NUMPUBLICOPRESENTE;NOMARBITRO;NOMASSISTENTE01;NOMASSISTENTE02;NOMQUARTOARBITRO
FASE DE GRUPO;1ª RODADA;SUIÇA;CAMARÕES;2022-11-24 07:00:00;1;0;0;0;0;0;0;0;NORMAL;SUIÇA;AL JANOUD STADIUM;39089;FACUNDO TELLO;EZEQUIEL BRAILOSVKY;GABRIEL CHADE;SAÍD MARTÍNEZ
FASE DE GRUPO;1ª RODADA;URUGUAI;COREIA DO SUL;2022-11-24 10:00:00;0;0;0;0;0;0;0;0;NORMAL;EMPATE;EDUCATION CITY STADIUM;41663;FACUNDO TELLO;NICOLAS DANOS;CYRIL GRINGORE;ISTVAN KOVACS
FASE DE GRUPO;1ª RODADA;PORTUGAL;GANA;2022-11-24 13:00:00;3;2;0;0;0;0;0;0;NORMAL;PORTUGAL;STADIUM 974;42662;ISMAIL ELFATH;KYLE ATKINS;COREY PARKER;STÉPHANIE FRAPPART
FASE DE GRUPO;1ª RODADA;BRASIL;SÉRVIA;2022-11-24 16:00:00;2;0;0;0;0;0;0;0;NORMAL;BRASIL;LUSAIL STADIUM;88103;ALIREZA FAGHANI;MOHAMMADREZA MANSOURI;MOHAMMADREZA ABOLFAZLI;MAGUETTE NDIAYE
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;IRÃ;2022-11-25 07:00:00;0;2;0;0;0;0;0;0;NORMAL;IRÃ;AHMAD BIN ALI STADIUM;40875;MARIO ESCOBAR;CALEB WALES;JUAN MORA;MAGUETTE NDIAYE
FASE DE GRUPO;2ª RODADA;CATAR;SENEGAL;2022-11-25 10:00:00;1;3;0;0;0;0;0;0;NORMAL;SENEGAL;AL THUMAMA STADIUM;41797;MATEU LAHOZ;PAU DEVIS;ROBERTO DÍAZ PÉREZ DEL PALOMAR;KEVIN ORTEGA
FASE DE GRUPO;2ª RODADA;HOLANDA;EQUADOR;2022-11-25 13:00:00;1;1;0;0;0;0;0;0;NORMAL;EMPATE;KHALIFA INTERNACIONAL STADIUM;44833;MUSTAPHA GHORBAL;MOKRANE GOURARI;ABDELHAK ETCHIALI;HÉCTOR SAID MARTÍNEZ SORTO
FASE DE GRUPO;2ª RODADA;INGLATERRA;EUA;2022-11-25 16:00:00;0;0;0;0;0;0;0;0;NORMAL;EMPATE;AL BAYT STADIUM;68463;JESÚS VALENZUELA;JORGE URREGO MARTÍNEZ;TULIO MORENO;YOSHIMI YAMASHITA
FASE DE GRUPO;2ª RODADA;TUNÍSIA;AUSTRÁLIA;2022-11-26 07:00:00;0;1;0;0;0;0;0;0;NORMAL;AUSTRÁLIA;AL JANOUD STADIUM;41823;DANIEL SIEBERT;RAFAEL FOLTYN;JAN SEIDEL;SAÍD MARTÍNEZ
FASE DE GRUPO;2ª RODADA;POLÔNIA;ARÁBIA SAUDITA;2022-11-26 10:00:00;2;0;0;0;0;0;0;0;NORMAL;POLÔNIA;EDUCATION CITY STADIUM;44259;WILTON PEREIRA SAMPAIO;BRUNO BOSCHILIA;BRUNO RAPHAEL PIRES;KEVIN ORTEGA
FASE DE GRUPO;2ª RODADA;FRANÇA;DINAMARCA;2022-11-26 13:00:00;2;1;0;0;0;0;0;0;NORMAL;FRANÇA;STADIUM 974;42860;SZYMON MARCINIAK;PAWEL SOKOLNICKI;TOMASZ LISTKIEWICZ;MA NING
FASE DE GRUPO;2ª RODADA;ARGENTINA;MÉXICO;2022-11-26 16:00:00;2;0;0;0;0;0;0;0;NORMAL;ARGENTINA;LUSAIL STADIUM;88966;DANIELE ORSATO;CIRO CARBONE;ALESSANDRO GIALLATINI;ISTVAN KOVACS
FASE DE GRUPO;2ª RODADA;JAPÃO;COSTA RICA;2022-11-27 07:00:00;0;1;0;0;0;0;0;0;NORMAL;COSTA RICA;AHMAD BIN ALI STADIUM;41479;TOMASZ LISTKIEWICZ;MICHAEL OLIVER;STUART BURT;MAGUETTE NDIAYE
FASE DE GRUPO;2ª RODADA;BÉLGICA;MORROCOS;2022-11-27 10:00:00;0;2;0;0;0;0;0;0;NORMAL;MORROCOS;AL THUMAMA STADIUM;43738;CÉSAR RAMOS;ALBERTO MORÍN;MIGUEL ÁNGEL HERNÁNDEZ;YOSHIMI YAMASHITA
FASE DE GRUPO;2ª RODADA;CROÁCIA;CANADA;2022-11-27 13:00:00;4;1;0;0;0;0;0;0;NORMAL;CROÁCIA;KHALIFA INTERNACIONAL STADIUM;44374;ANDRÉS MATONTE;NICOLÁS TARÁN;MARTÍN SOPPI;KEVIN ORTEGA
FASE DE GRUPO;2ª RODADA;ESPANHA;ALEMANHA;2022-11-27 16:00:00;1;1;0;0;0;0;0;0;NORMAL;EMPATE;AL BAYT STADIUM;68895;DANNY MAKKELIE;HESSEL STEEGSTRA;JAN DE VRIES;ISTVAN KOVACS
FASE DE GRUPO;2ª RODADA;CAMARÕES;SÉRVIA;2022-11-28 07:00:00;3;3;0;0;0;0;0;0;NORMAL;EMPATE;AL JANOUD STADIUM;39789;MOHAMMED ABDULLA HASSAN;SULTAN MOHAMED AL HAMMADI;HASAN AL-MAHRI;MA NING
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;GANA;2022-11-28 10:00:00;2;3;0;0;0;0;0;0;NORMAL;GANA;EDUCATION CITY STADIUM;43983;ANTHONY TAYLOR;GARY BESWICK;ADAM NUNN;KEVIN ORTEGA
FASE DE GRUPO;2ª RODADA;BRASIL;SUIÇA;2022-11-28 13:00:00;1;0;0;0;0;0;0;0;NORMAL;BRASIL;STADIUM 974;43983;IVAN ARCIDES BARTON CISNEROS;DAVID JONATHAN MORÁN SANTOS;ZACHARI ZEEGELAAR;SAÍD MARTÍNEZ
FASE DE GRUPO;2ª RODADA;PORTUGAL;URUGUAI;2022-11-28 16:00:00;2;0;0;0;0;0;0;0;NORMAL;PORTUGAL;LUSAIL STADIUM;88668;ALIREZA FAGHANI;MOHAMMADREZA MANSOURI;MOHAMMADREZA ABOLFAZLI;ABDULRAHMAN AL-JASSIM
FASE DE GRUPO;3ª RODADA;HOLANDA;CATAR;2022-11-29 12:00:00;2;0;0;0;0;0;0;0;NORMAL;HOLANDA;AL BAYT STADIUM;66784;ALIREZA FAGHANI;MOHAMMADREZA MANSOURI;MOHAMMADREZA ABOLFAZLI;ABDULRAHMAN AL-JASSIM
FASE DE GRUPO;3ª RODADA;EQUADOR;SENEGAL;2022-11-29 12:00:00;1;2;0;0;0;0;0;0;NORMAL;SENEGAL;KHALIFA INTERNACIONAL STADIUM;44569;CLÉMENT TURPIN;NICOLAS DANOS;CYRIL GRINGORE;ISTVAN KOVACS
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;INGLATERRA;2022-11-29 16:00:00;0;3;0;0;0;0;0;0;NORMAL;INGLATERRA;AHMAD BIN ALI STADIUM;44259;BAKARY GASSAMA;ELVIS NOUPUE;MAHMOUD AHMED KAMEL ABO EL REGAL;MA NING
FASE DE GRUPO;3ª RODADA;IRÃ;EUA;2022-11-29 16:00:00;0;1;0;0;0;0;0;0;NORMAL;EUA;AL THUMAMA STADIUM;42127;MATEU LAHOZ;PAU DEVIS;ROBERTO DÍAZ PÉREZ DEL PALOMAR;KEVIN ORTEGA
FASE DE GRUPO;3ª RODADA;TUNÍSIA;FRANÇA;2022-11-30 12:00:00;1;0;0;0;0;0;0;0;NORMAL;TUNÍSIA;EDUCATION CITY STADIUM;43627;MATTHEW CONGER;MARK RULE;TEVITA MAKASINI;SALIMA MUKANSANGA
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;DINAMARCA;2022-11-30 12:00:00;1;0;0;0;0;0;0;0;NORMAL;AUSTRÁLIA;AL JANOUD STADIUM;41232;MUSTAPHA GHORBAL;MOKRANE GOURARI;ABDELHAK ETCHIALI;MAGUETTE NDIAYE
FASE DE GRUPO;3ª RODADA;POLÔNIA;ARGENTINA;2022-11-30 16:00:00;0;2;0;0;0;0;0;0;NORMAL;ARGENTINA;STADIUM 974;44089;DANNY MAKKELIE;HESSEL STEEGSTRA;JAN DE VRIES;SAÍD MARTÍNEZ
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;MÉXICO;2022-11-30 16:00:00;1;2;0;0;0;0;0;0;NORMAL;MÉXICO;LUSAIL STADIUM;44259;MICHAEL OLIVER;STUART BURT;SIMON BENNETT;ISTVAN KOVACS
FASE DE GRUPO;3ª RODADA;CROÁCIA;BÉLGICA;2022-12-01 12:00:00;0;0;0;0;0;0;0;0;NORMAL;EMPATE;AHMAD BIN ALI STADIUM;43984;ANTHONY TAYLOR;GARY BESWICK;ADAM NUNN;ISTVAN KOVACS
FASE DE GRUPO;3ª RODADA;CANADA;MORROCOS;2022-12-01 12:00:00;1;3;0;0;0;0;0;0;NORMAL;MORROCOS;AL THUMAMA STADIUM;43102;RAPHAEL CLAUS;RODRIGO FIGUEIREDO HENRIQUE CORREA;DANILO RICARDO SIMON MANIS;YOSHIMI YAMASHITA
FASE DE GRUPO;3ª RODADA;JAPÃO;ESPANHA;2022-12-01 16:00:00;2;1;0;0;0;0;0;0;NORMAL;JAPÃO;KHALIFA INTERNACIONAL STADIUM;44851;VICTOR GOMES;ZAKHELE SIWELA;SOURU PHATSOANE;SALIMA MUKANSANGA
FASE DE GRUPO;3ª RODADA;COSTA RICA;ALEMANHA;2022-12-01 16:00:00;2;4;0;0;0;0;0;0;NORMAL;ALEMANHA;AL BAYT STADIUM;44259;STÉPHANIE FRAPPART;NEUZA INES BACK;KAREN DIAZ MEDINA;SAÍD MARTÍNEZ
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;PORTUGAL;2022-12-02 12:00:00;2;1;0;0;0;0;0;0;NORMAL;COREIA DO SUL;EDUCATION CITY STADIUM;44097;FACUNDO TELLO;EZEQUIEL BRAILOSVKY;GABRIEL CHADE;MAGUETTE NDIAYE
FASE DE GRUPO;3ª RODADA;GANA;URUGUAI;2022-12-02 12:00:00;0;2;0;0;0;0;0;0;NORMAL;URUGUAI;AL JANOUD STADIUM;43443;DANIEL SIEBERT;JAN SEIDEL;RAFAEL FOLTYN;YOSHIMI YAMASHITA
FASE DE GRUPO;3ª RODADA;CAMARÕES;BRASIL;2022-12-02 16:00:00;1;0;0;0;0;0;0;0;NORMAL;CAMARÕES;LUSAIL STADIUM;85986;ISMAIL ELFATH;KYLE ATKINS;COREY PARKER;MA NING
FASE DE GRUPO;3ª RODADA;SÉRVIA;SUIÇA;2022-12-02 16:00:00;2;3;0;0;0;0;0;0;NORMAL;SUIÇA;STADIUM 974;41378;FERNANDO RAPALLINI;JUAN PABLO BELATTI;DIEGO BONFA;KEVIN ORTEGA
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;EUA;2022-12-03 12:00:00;3;1;0;0;0;0;0;0;NORMAL;HOLANDA;KHALIFA INTERNACIONAL STADIUM;44846;WILTON PEREIRA SAMPAIO;BRUNO BOSCHILIA;BRUNO RAPHAEL PIRES;ANDRÉS MATONTE
OITAVAS DE FINAL;OITAVAS DE FINAL 2;ARGENTINA;AUSTRÁLIA;2022-12-03 16:00:00;2;2;0;0;0;0;0;0;NORMAL;ARGENTINA;AHMAD BIN ALI STADIUM;45032;SZYMON MARCINIAK;PAWEL SOKOLNICKI;TOMASZ LISTKIEWICZ;MARIO ESCOBAR
OITAVAS DE FINAL;OITAVAS DE FINAL 3;JAPÃO;CROÁCIA;2022-12-05 12:00:00;1;1;0;0;1;3;3;1;DISPUTA POR PÊNALTI;CROÁCIA;STADIUM 974;42523;ISMAIL ELFATH;COREY PARKER;KYLE ATKINS;MUSTAPHA GHORBAL
OITAVAS DE FINAL;OITAVAS DE FINAL 4;BRASIL;COREIA DO SUL;2022-12-05 16:00:00;4;1;0;0;0;0;0;0;NORMAL;BRASIL;AL JANOUD STADIUM;43547;CLÉMENT TURPIN;NICOLAS DANOS;CYRIL GRINGORE;SLAVKO VINCIC
OITAVAS DE FINAL;OITAVAS DE FINAL 5;INGLATERRA;SENEGAL;2022-12-04 16:00:00;3;0;0;0;0;0;0;0;NORMAL;INGLATERRA;AL BAYT STADIUM;65985;IVAN ARCIDES BARTON CISNEROS;DAVID JONATHAN MORÁN SANTOS;KATHRYN NESBITT;SAÍD MARTÍNEZ
OITAVAS DE FINAL;OITAVAS DE FINAL 6;FRANÇA;POLÔNIA;2022-12-04 12:00:00;3;1;0;0;0;0;0;0;NORMAL;FRANÇA;AL THUMAMA STADIUM;40989;JESÚS VALENZUELA;JORGE URREGO MARTÍNEZ;TULIO MORENO;KEVIN ORTEGA
OITAVAS DE FINAL;OITAVAS DE FINAL 7;MORROCOS;ESPANHA;2022-12-06 12:00:00;0;0;0;0;3;1;0;3;DISPUTA POR PÊNALTI;MORROCOS;EDUCATION CITY STADIUM;44667;FERNANDO RAPALLINI;JUAN PABLO BELATTI;DIEGO BONFA;RAPHAEL CLAUS
OITAVAS DE FINAL;OITAVAS DE FINAL 8;PORTUGAL;SUIÇA;2022-12-06 16:00:00;6;1;0;0;0;0;0;0;NORMAL;PORTUGAL;LUSAIL STADIUM;83720;CÉSAR RAMOS;ALBERTO MORÍN;MIGUEL ÁNGEL HERNÁNDEZ;ISTVAN KOVACS
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;ARGENTINA;2022-12-09 16:00:00;2;2;0;0;3;2;4;1;DISPUTA POR PÊNALTI;ARGENTINA;LUSAIL STADIUM;88966;MATEU LAHOZ;PAU DEVIS;ROBERTO DÍAZ PÉREZ DEL PALOMAR;VICTOR GOMES
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;BRASIL;2022-12-09 12:00:00;0;0;1;1;4;0;2;2;DISPUTA POR PÊNALTI;CROÁCIA;EDUCATION CITY STADIUM;43893;MICHAEL OLIVER;STUART BURT;GARY BESWICK;MUSTAPHA GHORBAL
QUARTAS DE FINAL;QUARTAS DE FINAL 3;INGLATERRA;FRANÇA;2022-12-10 16:00:00;1;2;0;0;0;0;0;0;NORMAL;FRANÇA;AL BAYT STADIUM;68895;WILTON PEREIRA SAMPAIO;BRUNO BOSCHILIA;BRUNO RAPHAEL PIRES;MOHAMMED ABDULLA HASSAN
QUARTAS DE FINAL;QUARTAS DE FINAL 4;MORROCOS;PORTUGAL;2022-12-10 12:00:00;1;0;0;0;0;0;0;0;NORMAL;MORROCOS;AL THUMAMA STADIUM;44198;FACUNDO TELLO;EZEQUIEL BRAILOSVKY;GABRIEL CHADE;IVAN ARCIDES BARTON CISNEROS
SEMI FINAL;SEMI FINAL 1;ARGENTINA;CROÁCIA;2022-12-13 16:00:00;3;0;0;0;0;0;0;0;NORMAL;ARGENTINA;LUSAIL STADIUM;88966;DANIELE ORSATO;CIRO CARBONE;ALESSANDRO GIALLATINI;MOHAMMED ABDULLA HASSAN
SEMI FINAL;SEMI FINAL 2;FRANÇA;MORROCOS;2022-12-14 16:00:00;2;0;0;0;0;0;0;0;NORMAL;FRANÇA;AL BAYT STADIUM;68294;CÉSAR RAMOS;ALBERTO MORÍN;MIGUEL ÁNGEL HERNÁNDEZ;JESÚS VALENZUELA
